index,time,A,B,C
12055.0,9.64432147738258e-06,0.0,1181.1023622047244,-39.37007874015748
12056.0,9.645121504050134e-06,0.0,1181.1023622047244,0.0
12057.0,9.64592153071769e-06,0.0,1181.1023622047244,0.0
12058.0,9.646721557385246e-06,0.0,1181.1023622047244,0.0
12059.0,9.647521584052801e-06,0.0,1220.4724409448818,39.37007874015748
12060.0,9.648321610720356e-06,0.0,1181.1023622047244,39.37007874015748
12061.0,9.649121637387913e-06,0.0,1181.1023622047244,0.0
12062.0,9.649921664055468e-06,0.0,1220.4724409448818,-39.37007874015748
12063.0,9.650721690723023e-06,0.0,1181.1023622047244,0.0
12064.0,9.65152171739058e-06,0.0,1181.1023622047244,0.0
12065.0,9.652321744058135e-06,0.0,1181.1023622047244,0.0
12066.0,9.65312177072569e-06,0.0,1181.1023622047244,0.0
12067.0,9.653921797393245e-06,0.0,1181.1023622047244,0.0
12068.0,9.654721824060802e-06,0.0,1220.4724409448818,0.0
12069.0,9.655521850728357e-06,0.0,1220.4724409448818,0.0
12070.0,9.656321877395912e-06,0.0,1220.4724409448818,0.0
12071.0,9.657121904063469e-06,39.37007874015748,1220.4724409448818,39.37007874015748
12072.0,9.657921930731024e-06,0.0,1259.8425196850394,0.0
12073.0,9.65872195739858e-06,0.0,1220.4724409448818,0.0
12074.0,9.659521984066136e-06,39.37007874015748,1220.4724409448818,0.0
12075.0,9.660322010733691e-06,0.0,1181.1023622047244,-39.37007874015748
12076.0,9.661122037401246e-06,0.0,1220.4724409448818,0.0
12077.0,9.661922064068801e-06,0.0,1220.4724409448818,0.0
12078.0,9.662722090736358e-06,39.37007874015748,1181.1023622047244,0.0
12079.0,9.663522117403913e-06,0.0,1220.4724409448818,0.0
12080.0,9.664322144071468e-06,0.0,1181.1023622047244,0.0
12081.0,9.665122170739025e-06,0.0,1220.4724409448818,0.0
12082.0,9.66592219740658e-06,0.0,1220.4724409448818,0.0
12083.0,9.666722224074135e-06,0.0,1220.4724409448818,0.0
12084.0,9.667522250741692e-06,-39.37007874015748,1220.4724409448818,0.0
12085.0,9.668322277409247e-06,0.0,1220.4724409448818,0.0
12086.0,9.669122304076802e-06,0.0,1220.4724409448818,-39.37007874015748
12087.0,9.669922330744357e-06,0.0,1220.4724409448818,-39.37007874015748
12088.0,9.670722357411914e-06,0.0,1220.4724409448818,0.0
12089.0,9.671522384079469e-06,0.0,1220.4724409448818,0.0
12090.0,9.672322410747024e-06,0.0,1220.4724409448818,-39.37007874015748
12091.0,9.673122437414581e-06,0.0,1259.8425196850394,39.37007874015748
12092.0,9.673922464082136e-06,0.0,1181.1023622047244,0.0
12093.0,9.674722490749691e-06,0.0,1220.4724409448818,0.0
12094.0,9.675522517417248e-06,0.0,1220.4724409448818,0.0
12095.0,9.676322544084803e-06,0.0,1259.8425196850394,-39.37007874015748
12096.0,9.677122570752358e-06,0.0,1220.4724409448818,-39.37007874015748
12097.0,9.677922597419913e-06,0.0,1220.4724409448818,-39.37007874015748
12098.0,9.67872262408747e-06,0.0,1220.4724409448818,-39.37007874015748
12099.0,9.679522650755025e-06,-39.37007874015748,1220.4724409448818,0.0
12100.0,9.68032267742258e-06,0.0,1220.4724409448818,39.37007874015748
12101.0,9.681122704090137e-06,0.0,1259.8425196850394,39.37007874015748
12102.0,9.681922730757692e-06,0.0,1259.8425196850394,-39.37007874015748
