index,time,A,B,C,E,H
12547.0,6.0376000000000004e-06,78.74015748031496,708.6614173228346,0.0,-157.48031496062993,118.11023622047244
12548.0,6.0384000000000005e-06,0.0,826.7716535433071,-39.37007874015748,-196.8503937007874,0.0
12549.0,6.0392000000000006e-06,78.74015748031496,708.6614173228346,-39.37007874015748,-118.11023622047244,78.74015748031496
12550.0,6.040000000000001e-06,0.0,669.2913385826772,-39.37007874015748,39.37007874015748,39.37007874015748
12551.0,6.040800000000001e-06,-39.37007874015748,669.2913385826772,-39.37007874015748,0.0,0.0
12552.0,6.041600000000001e-06,0.0,748.0314960629921,-39.37007874015748,-39.37007874015748,-118.11023622047244
12553.0,6.042400000000001e-06,-39.37007874015748,787.4015748031496,0.0,39.37007874015748,-39.37007874015748
12554.0,6.043200000000001e-06,-78.74015748031496,748.0314960629921,-39.37007874015748,78.74015748031496,-78.74015748031496
12555.0,6.044000000000001e-06,-78.74015748031496,708.6614173228346,0.0,0.0,-118.11023622047244
12556.0,6.044800000000001e-06,-39.37007874015748,708.6614173228346,0.0,78.74015748031496,-78.74015748031496
12557.0,6.045600000000001e-06,-78.74015748031496,748.0314960629921,-39.37007874015748,39.37007874015748,-39.37007874015748
12558.0,6.046400000000001e-06,-196.8503937007874,669.2913385826772,-39.37007874015748,118.11023622047244,-196.8503937007874
12559.0,6.047200000000001e-06,-157.48031496062993,629.9212598425197,0.0,118.11023622047244,-157.48031496062993
12560.0,6.048000000000001e-06,-236.2204724409449,629.9212598425197,0.0,157.48031496062993,-196.8503937007874
12561.0,6.048800000000001e-06,-118.11023622047244,669.2913385826772,-78.74015748031496,118.11023622047244,-196.8503937007874
12562.0,6.049600000000001e-06,-157.48031496062993,708.6614173228346,-39.37007874015748,157.48031496062993,-236.2204724409449
12563.0,6.0504e-06,-236.2204724409449,748.0314960629921,0.0,157.48031496062993,-236.2204724409449
12564.0,6.0512e-06,-236.2204724409449,748.0314960629921,0.0,236.2204724409449,-314.96062992125985
12565.0,6.052e-06,-275.59055118110234,708.6614173228346,0.0,236.2204724409449,-275.59055118110234
12566.0,6.0528e-06,-275.59055118110234,708.6614173228346,-39.37007874015748,314.96062992125985,-275.59055118110234
12567.0,6.0536e-06,-275.59055118110234,748.0314960629921,-39.37007874015748,354.3307086614173,-354.3307086614173
12568.0,6.0544e-06,-275.59055118110234,669.2913385826772,0.0,354.3307086614173,-314.96062992125985
12569.0,6.0552e-06,-275.59055118110234,669.2913385826772,0.0,275.59055118110234,-354.3307086614173
12570.0,6.056e-06,-354.3307086614173,669.2913385826772,-39.37007874015748,354.3307086614173,-354.3307086614173
12571.0,6.0568e-06,-314.96062992125985,708.6614173228346,0.0,433.07086614173227,-393.7007874015748
12572.0,6.0576e-06,-314.96062992125985,748.0314960629921,0.0,433.07086614173227,-433.07086614173227
12573.0,6.0584e-06,-354.3307086614173,748.0314960629921,-39.37007874015748,393.7007874015748,-393.7007874015748
12574.0,6.0592e-06,-393.7007874015748,748.0314960629921,0.0,433.07086614173227,-433.07086614173227
12575.0,6.0600000000000004e-06,-354.3307086614173,629.9212598425197,0.0,433.07086614173227,-472.4409448818898
12576.0,6.0608000000000005e-06,-433.07086614173227,629.9212598425197,-39.37007874015748,511.81102362204723,-472.4409448818898
12577.0,6.0616000000000005e-06,-433.07086614173227,669.2913385826772,-78.74015748031496,551.1811023622047,-511.81102362204723
12578.0,6.062400000000001e-06,-393.7007874015748,669.2913385826772,-39.37007874015748,590.5511811023622,-472.4409448818898
12579.0,6.063200000000001e-06,-472.4409448818898,669.2913385826772,0.0,551.1811023622047,-472.4409448818898
12580.0,6.064000000000001e-06,-472.4409448818898,669.2913385826772,-39.37007874015748,472.4409448818898,-590.5511811023622
12581.0,6.064800000000001e-06,-511.81102362204723,669.2913385826772,-39.37007874015748,511.81102362204723,-511.81102362204723
12582.0,6.065600000000001e-06,-472.4409448818898,708.6614173228346,-39.37007874015748,551.1811023622047,-472.4409448818898
12583.0,6.066400000000001e-06,-511.81102362204723,748.0314960629921,-39.37007874015748,590.5511811023622,-590.5511811023622
12584.0,6.067200000000001e-06,-511.81102362204723,669.2913385826772,0.0,551.1811023622047,-590.5511811023622
12585.0,6.068000000000001e-06,-551.1811023622047,669.2913385826772,-39.37007874015748,708.6614173228346,-629.9212598425197
12586.0,6.068800000000001e-06,-472.4409448818898,590.5511811023622,-39.37007874015748,629.9212598425197,-551.1811023622047
12587.0,6.069600000000001e-06,-551.1811023622047,669.2913385826772,0.0,708.6614173228346,-669.2913385826772
12588.0,6.070400000000001e-06,-511.81102362204723,708.6614173228346,-39.37007874015748,629.9212598425197,-629.9212598425197
12589.0,6.071200000000001e-06,-590.5511811023622,748.0314960629921,-39.37007874015748,708.6614173228346,-590.5511811023622
12590.0,6.072000000000001e-06,-590.5511811023622,669.2913385826772,0.0,669.2913385826772,-590.5511811023622
12591.0,6.072800000000001e-06,-551.1811023622047,629.9212598425197,0.0,669.2913385826772,-669.2913385826772
12592.0,6.0736e-06,-511.81102362204723,629.9212598425197,-39.37007874015748,629.9212598425197,-590.5511811023622
12593.0,6.0744e-06,-551.1811023622047,708.6614173228346,-39.37007874015748,708.6614173228346,-669.2913385826772
12594.0,6.0752e-06,-551.1811023622047,669.2913385826772,-78.74015748031496,708.6614173228346,-669.2913385826772
12595.0,6.076e-06,-669.2913385826772,629.9212598425197,-39.37007874015748,708.6614173228346,-629.9212598425197
12596.0,6.0768e-06,-590.5511811023622,629.9212598425197,0.0,787.4015748031496,-669.2913385826772
12597.0,6.0776e-06,-590.5511811023622,669.2913385826772,-39.37007874015748,748.0314960629921,-669.2913385826772
12598.0,6.0784e-06,-551.1811023622047,708.6614173228346,-39.37007874015748,748.0314960629921,-708.6614173228346
12599.0,6.0792e-06,-551.1811023622047,708.6614173228346,-39.37007874015748,748.0314960629921,-708.6614173228346
12600.0,6.08e-06,-590.5511811023622,669.2913385826772,-78.74015748031496,748.0314960629921,-708.6614173228346
